,Category,counts,Month,sum,Percentage of total contribution,set_size,alpha,date
4,number of pages,6000591.0,2020-06,12097878.0,49.60035966638116,100000000,0.33,2020-06 / 2020-07
5,number of pages,6097287.0,2020-07,12097878.0,50.399640333618834,100000000,0.33,2020-06 / 2020-07
6,divergence,0.040041390720427665,2020-06,0.08178241018664278,48.96088367785409,100000000,0.33,2020-06 / 2020-07
7,divergence,0.04174101946621512,2020-07,0.08178241018664278,51.039116322145915,100000000,0.33,2020-06 / 2020-07
0,exclusive type,84631.0,2020-07,114240.0,74.08175770308122,100000000,0.33,2020-07 / 2020-08
1,exclusive type,29609.0,2020-08,114240.0,25.91824229691877,100000000,0.33,2020-07 / 2020-08
2,views,7115607806.0,2020-07,14197928427.0,50.11722549937884,100000000,0.33,2020-07 / 2020-08
3,views,7082320621.0,2020-08,14197928427.0,49.88277450062117,100000000,0.33,2020-07 / 2020-08
4,number of pages,6097287.0,2020-07,12139552.0,50.226622860547074,100000000,0.33,2020-07 / 2020-08
5,number of pages,6042265.0,2020-08,12139552.0,49.773377139452926,100000000,0.33,2020-07 / 2020-08
6,divergence,0.03924448434063801,2020-07,0.08019916330222654,48.93378275375159,100000000,0.33,2020-07 / 2020-08
7,divergence,0.04095467896158853,2020-08,0.08019916330222654,51.0662172462484,100000000,0.33,2020-07 / 2020-08
0,exclusive type,57422.0,2020-08,135236.0,42.46058741755154,100000000,0.33,2020-08 / 2020-09
1,exclusive type,77814.0,2020-09,135236.0,57.539412582448456,100000000,0.33,2020-08 / 2020-09
2,views,7082320621.0,2020-08,13912933532.0,50.904581731167866,100000000,0.33,2020-08 / 2020-09
3,views,6830612911.0,2020-09,13912933532.0,49.095418268832134,100000000,0.33,2020-08 / 2020-09
4,number of pages,6042265.0,2020-08,12104922.0,49.91576980008628,100000000,0.33,2020-08 / 2020-09
5,number of pages,6062657.0,2020-09,12104922.0,50.084230199913726,100000000,0.33,2020-08 / 2020-09
6,divergence,0.04117251726279103,2020-08,0.08415605256575026,48.92401200807674,100000000,0.33,2020-08 / 2020-09
7,divergence,0.04298353530295923,2020-09,0.08415605256575026,51.075987991923256,100000000,0.33,2020-08 / 2020-09
0,exclusive type,9903.0,2020-09,108913.0,9.09257848007125,100000000,0.33,2020-09 / 2020-10
1,exclusive type,99010.0,2020-10,108913.0,90.90742151992876,100000000,0.33,2020-09 / 2020-10
2,views,6830612911.0,2020-09,14259095547.0,47.90354962196117,100000000,0.33,2020-09 / 2020-10
3,views,7428482636.0,2020-10,14259095547.0,52.09645037803884,100000000,0.33,2020-09 / 2020-10
4,number of pages,6062657.0,2020-09,12214421.0,49.63523854303041,100000000,0.33,2020-09 / 2020-10
5,number of pages,6151764.0,2020-10,12214421.0,50.364761456969596,100000000,0.33,2020-09 / 2020-10
6,divergence,0.0409867722546512,2020-09,0.08378672004208844,48.91798155371446,100000000,0.33,2020-09 / 2020-10
7,divergence,0.04279994778743724,2020-10,0.08378672004208844,51.08201844628554,100000000,0.33,2020-09 / 2020-10
0,exclusive type,52479.0,2020-10,78790.0,66.60616829546898,100000000,0.33,2020-10 / 2020-11
1,exclusive type,26311.0,2020-11,78790.0,33.39383170453103,100000000,0.33,2020-10 / 2020-11
2,views,7428482636.0,2020-10,15037213635.0,49.40065903373062,100000000,0.33,2020-10 / 2020-11
3,views,7608730999.0,2020-11,15037213635.0,50.59934096626938,100000000,0.33,2020-10 / 2020-11
4,number of pages,6151764.0,2020-10,12277360.0,50.106570142115245,100000000,0.33,2020-10 / 2020-11
5,number of pages,6125596.0,2020-11,12277360.0,49.893429857884755,100000000,0.33,2020-10 / 2020-11
6,divergence,0.041043376894973525,2020-10,0.08346664023719279,49.17339044477864,100000000,0.33,2020-10 / 2020-11
7,divergence,0.04242326334221926,2020-11,0.08346664023719279,50.82660955522136,100000000,0.33,2020-10 / 2020-11
0,exclusive type,84522.0,2020-11,142438.0,59.339502099158935,100000000,0.33,2020-11 / 2020-12
1,exclusive type,57916.0,2020-12,142438.0,40.66049790084107,100000000,0.33,2020-11 / 2020-12
2,views,7608730999.0,2020-11,14941382141.0,50.92387656775882,100000000,0.33,2020-11 / 2020-12
3,views,7332651142.0,2020-12,14941382141.0,49.07612343224118,100000000,0.33,2020-11 / 2020-12
4,number of pages,6125596.0,2020-11,12224586.0,50.10882168115959,100000000,0.33,2020-11 / 2020-12
5,number of pages,6098990.0,2020-12,12224586.0,49.89117831884041,100000000,0.33,2020-11 / 2020-12
6,divergence,0.04162885933811775,2020-11,0.0841440329620052,49.47333503365003,100000000,0.33,2020-11 / 2020-12
7,divergence,0.042515173623887445,2020-12,0.0841440329620052,50.526664966349955,100000000,0.33,2020-11 / 2020-12
